-- SG    KRG    KROG   PCOG
SGOF
0.00000000 0.00000000 1.00000000 0.00010000
0.10000000 0.00000000 0.62429508 0.00011031
0.10918367 0.00000011 0.59611832 0.00011138
0.11836735 0.00000121 0.56890629 0.00011247
0.12755102 0.00000502 0.54263672 0.00011358
0.13673469 0.00001374 0.51728758 0.00011472
0.14591837 0.00003000 0.49283712 0.00011588
0.15510204 0.00005679 0.46926385 0.00011707
0.16428571 0.00009740 0.44654653 0.00011829
0.17346939 0.00015543 0.42466418 0.00011953
0.18265306 0.00023472 0.40359610 0.00012081
0.19183673 0.00033940 0.38332182 0.00012211
0.20102041 0.00047379 0.36382115 0.00012345
0.21020408 0.00064246 0.34507416 0.00012481
0.21938776 0.00085018 0.32706118 0.00012622
0.22857143 0.00110194 0.30976278 0.00012765
0.23775510 0.00140290 0.29315982 0.00012913
0.24693878 0.00175844 0.27723340 0.00013064
0.25612245 0.00217410 0.26196489 0.00013219
0.26530612 0.00265560 0.24733592 0.00013378
0.27448980 0.00320883 0.23332838 0.00013542
0.28367347 0.00383985 0.21992440 0.00013709
0.29285714 0.00455487 0.20710640 0.00013882
0.30204082 0.00536029 0.19485705 0.00014060
0.31122449 0.00626262 0.18315927 0.00014242
0.32040816 0.00726856 0.17199626 0.00014430
0.32959184 0.00838492 0.16135146 0.00014623
0.33877551 0.00961868 0.15120857 0.00014822
0.34795918 0.01097696 0.14155158 0.00015027
0.35714286 0.01246700 0.13236470 0.00015239
0.36632653 0.01409619 0.12363243 0.00015457
0.37551020 0.01587205 0.11533952 0.00015682
0.38469388 0.01780224 0.10747097 0.00015915
0.39387755 0.01989453 0.10001206 0.00016155
0.40306122 0.02215682 0.09294831 0.00016404
0.41224490 0.02459716 0.08626552 0.00016661
0.42142857 0.02722368 0.07994974 0.00016927
0.43061224 0.03004467 0.07398727 0.00017202
0.43979592 0.03306852 0.06836469 0.00017488
0.44897959 0.03630374 0.06306882 0.00017784
0.45816327 0.03975895 0.05808677 0.00018091
0.46734694 0.04344289 0.05340588 0.00018411
0.47653061 0.04736442 0.04901376 0.00018743
0.48571429 0.05153250 0.04489829 0.00019089
0.49489796 0.05595621 0.04104759 0.00019449
0.50408163 0.06064474 0.03745006 0.00019824
0.51326531 0.06560736 0.03409436 0.00020215
0.52244898 0.07085347 0.03096938 0.00020624
0.53163265 0.07639259 0.02806432 0.00021052
0.54081633 0.08223431 0.02536859 0.00021499
0.55000000 0.08838835 0.02287189 0.00021968
0.55918367 0.09486451 0.02056419 0.00022461
0.56836735 0.10167270 0.01843568 0.00022978
0.57755102 0.10882294 0.01647684 0.00023522
0.58673469 0.11632533 0.01467841 0.00024095
0.59591837 0.12419008 0.01303139 0.00024700
0.60510204 0.13242749 0.01152702 0.00025339
0.61428571 0.14104797 0.01015682 0.00026016
0.62346939 0.15006200 0.00891257 0.00026734
0.63265306 0.15948018 0.00778629 0.00027497
0.64183673 0.16931318 0.00677030 0.00028310
0.65102041 0.17957179 0.00585713 0.00029177
0.66020408 0.19026686 0.00503961 0.00030106
0.66938776 0.20140936 0.00431082 0.00031101
0.67857143 0.21301033 0.00366408 0.00032173
0.68775510 0.22508090 0.00309299 0.00033329
0.69693878 0.23763231 0.00259142 0.00034580
0.70612245 0.25067586 0.00215348 0.00035940
0.71530612 0.26422295 0.00177354 0.00037423
0.72448980 0.27828508 0.00144624 0.00039047
0.73367347 0.29287382 0.00116648 0.00040836
0.74285714 0.30800082 0.00092941 0.00042815
0.75204082 0.32367783 0.00073046 0.00045018
0.76122449 0.33991668 0.00056530 0.00047488
0.77040816 0.35672927 0.00042987 0.00050276
0.77959184 0.37412761 0.00032037 0.00053451
0.78877551 0.39212376 0.00023326 0.00057105
0.79795918 0.41072989 0.00016524 0.00061356
0.80714286 0.42995824 0.00011332 0.00066373
0.81632653 0.44982112 0.00007471 0.00072390
0.82551020 0.47033095 0.00004693 0.00079754
0.83469388 0.49150019 0.00002772 0.00088996
0.84387755 0.51334141 0.00001512 0.00100975
